fips,pop_density
6.085000000000000000e+03,1.381000000000000000e+03
6.087000000000000000e+03,5.893999999999999773e+02
6.089000000000000000e+03,4.689999999999999858e+01
6.091000000000000000e+03,3.399999999999999911e+00
6.093000000000000000e+03,7.200000000000000178e+00
6.095000000000000000e+03,5.030000000000000000e+02
6.097000000000000000e+03,3.071000000000000227e+02
6.099000000000000000e+03,3.441999999999999886e+02
6.101000000000000000e+03,1.573000000000000114e+02
6.103000000000000000e+03,2.150000000000000000e+01
6.105000000000000000e+03,4.299999999999999822e+00
6.107000000000000000e+03,9.170000000000000284e+01
6.109000000000000000e+03,2.489999999999999858e+01
6.111000000000000000e+03,4.466999999999999886e+02
6.113000000000000000e+03,1.979000000000000057e+02
6.115000000000000000e+03,1.142000000000000028e+02
8.001000000000000000e+03,3.781999999999999886e+02
8.003000000000000000e+03,2.139999999999999858e+01
8.005000000000000000e+03,7.167000000000000455e+02
8.007000000000000000e+03,8.900000000000000355e+00
8.009000000000000000e+03,1.500000000000000000e+00
8.011000000000000000e+03,4.299999999999999822e+00
8.013000000000000000e+03,4.056000000000000227e+02
8.014000000000000000e+03,1.691900000000000091e+03
8.015000000000000000e+03,1.760000000000000142e+01
8.017000000000000000e+03,1.000000000000000000e+00
8.019000000000000000e+03,2.300000000000000000e+01
8.021000000000000000e+03,6.400000000000000355e+00
8.023000000000000000e+03,2.899999999999999911e+00
8.025000000000000000e+03,7.400000000000000355e+00
8.027000000000000000e+03,5.799999999999999822e+00
8.029000000000000000e+03,2.710000000000000142e+01
8.031000000000000000e+03,3.922599999999999909e+03
8.033000000000000000e+03,1.899999999999999911e+00
8.035000000000000000e+03,3.396999999999999886e+02
8.037000000000000000e+03,3.100000000000000000e+01
8.039000000000000000e+03,1.250000000000000000e+01
8.041000000000000000e+03,2.926000000000000227e+02
8.043000000000000000e+03,3.050000000000000000e+01
8.045000000000000000e+03,1.910000000000000142e+01
8.047000000000000000e+03,3.629999999999999716e+01
8.049000000000000000e+03,8.000000000000000000e+00
8.051000000000000000e+03,4.700000000000000178e+00
8.053000000000000000e+03,8.000000000000000444e-01
8.055000000000000000e+03,4.200000000000000178e+00
8.057000000000000000e+03,9.000000000000000222e-01
8.059000000000000000e+03,6.995000000000000000e+02
8.061000000000000000e+03,8.000000000000000444e-01
8.063000000000000000e+03,3.799999999999999822e+00
8.065000000000000000e+03,1.939999999999999858e+01
8.067000000000000000e+03,3.030000000000000071e+01
8.069000000000000000e+03,1.154000000000000057e+02
8.071000000000000000e+03,3.200000000000000178e+00
8.073000000000000000e+03,2.100000000000000089e+00
8.075000000000000000e+03,1.240000000000000036e+01
8.077000000000000000e+03,4.410000000000000142e+01
8.079000000000000000e+03,8.000000000000000444e-01
8.081000000000000000e+03,2.899999999999999911e+00
8.083000000000000000e+03,1.259999999999999964e+01
8.085000000000000000e+03,1.839999999999999858e+01
8.087000000000000000e+03,2.200000000000000000e+01
